Risk_factor,1990,2005,2006,2007,2010,2013,2015,2016,2017,2019,2021
Diet low in vegetables,686 (466-1454) [1.1],684 (448-1842) [1.5],688 (450-1474) [1.2],696 (452-1390) [1.2],723 (464-1797) [1.4],759 (480-1782) [1.4],790 (493-1994) [1.5],807 (501-1520) [1.1],821 (509-1460) [1.1],841 (529-841) [0.4],882 (861-903) [0.0]
Diet low in whole grains,1178 (762-1396) [0.6],1375 (910-2879) [1.2],1368 (917-2253) [0.9],1380 (929-2630) [1.1],1443 (958-1726) [0.6],1507 (1021-2049) [0.7],1558 (1059-3142) [1.1],1584 (1085-2499) [0.8],1604 (1101-3070) [1.1],1504 (1083-1845) [0.5],1352 (1157-1546) [0.3]
Dietary risks,5225 (4788-8068) [0.6],6179 (5658-10738) [0.7],6145 (5702-9264) [0.5],6189 (5777-9160) [0.5],6078 (5957-6849) [0.1],6729 (6295-11274) [0.6],6949 (6547-12058) [0.7],7099 (6678-10302) [0.5],7219 (6767-10900) [0.5],7020 (6712-7943) [0.2],7205 (7191-7219) [0.0]
Drug use,191 (69-236) [1.0],386 (353-417) [0.2],387 (357-417) [0.2],396 (362-459) [0.2],376 (158-421) [0.8],411 (382-429) [0.1],433 (403-489) [0.2],439 (416-465) [0.1],454 (426-585) [0.3],452 (440-494) [0.1],470 (463-477) [0.0]
High LDL cholesterol*,2452 (1946-3003) [0.4],3261 (2917-3816) [0.3],3241 (2921-3802) [0.3],3268 (2946-3570) [0.2],3063 (2019-3746) [0.6],3210 (2830-3909) [0.3],3692 (3303-4313) [0.3],3752 (3376-4393) [0.3],3804 (3411-4320) [0.2],3541 (3335-4397) [0.3],3604 (3562-3646) [0.0]
High alcohol use,1640 (1011-1989) [0.6],1933 (1314-2228) [0.5],1917 (1305-2606) [0.7],1927 (1305-2560) [0.7],1980 (1289-2736) [0.7],1975 (1225-2786) [0.8],2011 (1238-2306) [0.6],2034 (1249-2815) [0.8],2049 (1252-2840) [0.8],1781 (1234-2442) [0.7],1541 (1272-1809) [0.3]
High body-mass index,1964 (1417-2724) [0.7],2794 (2130-3395) [0.5],2870 (2170-3519) [0.5],2916 (2230-3509) [0.4],2984 (2430-3798) [0.4],3486 (2652-4444) [0.5],3514 (2861-4423) [0.4],3854 (2955-4563) [0.4],3982 (3057-4720) [0.4],3514 (3200-5019) [0.5],3585 (3460-3709) [0.1]
High fasting plasma glucose,2259 (2104-2910) [0.3],3801 (3130-4562) [0.4],4030 (3192-4700) [0.4],4121 (3283-5140) [0.4],3706 (3356-5059) [0.4],4116 (3868-5467) [0.4],4869 (4169-5782) [0.3],5129 (4326-5897) [0.3],5390 (4492-6530) [0.4],5089 (4678-6501) [0.3],5171 (5050-5293) [0.0]
High systolic blood pressure,6949 (6565-7293) [0.1],8497 (8312-9212) [0.1],8485 (8383-9083) [0.1],8514 (8477-8680) [0.0],9094 (8864-9396) [0.1],9526 (9312-10364) [0.1],9875 (9725-10704) [0.1],10089 (9951-10456) [0.0],10270 (10106-10400) [0.0],10535 (10011-10846) [0.1],10752 (10651-10852) [0.0]
High temperature,247 (206-249) [0.2],368 (251-374) [0.4],341 (246-345) [0.3],353 (248-355) [0.3],502 (289-503) [0.5],392 (258-398) [0.4],441 (283-441) [0.4],496 (306-503) [0.5],479 (293-483) [0.5],514 (308-524) [0.5],441 (440-442) [0.0]
Household air pollution from solid fuels,4416 (2857-4816) [0.5],3479 (3280-4695) [0.4],3401 (3261-4553) [0.3],3313 (1960-4477) [0.8],3479 (3039-4231) [0.3],2893 (2757-3764) [0.3],2854 (2585-3438) [0.3],2576 (2528-3332) [0.3],2474 (1640-3246) [0.7],2719 (2314-3124) [0.3],3113 (3113-3113) [0.0]
Intimate partner violence,77 (42-138) [1.2],196 (121-237) [0.6],159 (114-198) [0.5],159 (107-188) [0.5],151 (91-186) [0.7],130 (76-197) [0.9],123 (71-186) [0.9],83 (65-146) [0.9],82 (68-146) [0.8],87 (64-144) [0.8],103 (61-145) [0.8]
Iron deficiency,73 (59-241) [1.5],60 (51-87) [0.6],54 (28-60) [0.7],57 (49-89) [0.6],53 (45-120) [1.1],50 (42-199) [1.9],47 (39-84) [0.8],41 (21-47) [0.7],45 (38-60) [0.5],42 (36-44) [0.2],39 (34-43) [0.2]
Kidney dysfunction*,1718 (1310-1992) [0.4],2403 (1991-2571) [0.2],2438 (2108-2577) [0.2],2489 (2040-2622) [0.2],2765 (2546-2812) [0.1],2855 (2164-3029) [0.3],3012 (2426-3182) [0.3],3099 (2554-3262) [0.2],3171 (2590-3320) [0.2],3326 (3162-3485) [0.1],3591 (3559-3623) [0.0]
Lead exposure,668 (210-1842) [2.0],942 (461-2474) [1.7],946 (468-2524) [1.7],1019 (747-2585) [1.4],1031 (674-2724) [1.5],1103 (833-2961) [1.4],1130 (495-3103) [1.8],1150 (540-3201) [1.8],1253 (877-3260) [1.4],1512 (902-3169) [1.2],2468 (1542-3393) [0.8]
Low birth weight and short gestation,3034 (2888-3168) [0.1],2396 (2181-2634) [0.2],2357 (2148-2592) [0.2],2420 (2124-2546) [0.2],2250 (2020-2403) [0.2],2140 (1914-2248) [0.2],2051 (1842-2119) [0.1],1895 (1674-2028) [0.2],1903 (1749-1941) [0.1],1780 (1639-1805) [0.1],1564 (1503-1626) [0.1]
Low bone mineral density,207 (103-210) [0.6],304 (283-313) [0.1],319 (304-341) [0.1],321 (245-329) [0.3],339 (188-350) [0.5],362 (334-386) [0.1],386 (361-408) [0.1],412 (390-441) [0.1],410 (327-429) [0.3],438 (418-449) [0.1],456 (453-460) [0.0]
Low physical activity,407 (343-1489) [1.7],532 (450-1351) [1.3],537 (456-1160) [1.0],546 (466-1030) [0.9],588 (492-3184) [2.2],626 (529-2182) [1.7],657 (561-1605) [1.2],676 (578-1373) [1.0],697 (595-1260) [0.8],630 (602-832) [0.3],647 (636-658) [0.0]
Low temperature,1060 (1051-1277) [0.2],1252 (1198-1430) [0.2],1176 (1142-1380) [0.2],1210 (1181-1396) [0.2],1298 (1234-1460) [0.2],1362 (1297-1512) [0.2],1344 (1290-1515) [0.2],1347 (1300-1525) [0.2],1394 (1355-1572) [0.2],1464 (1349-1653) [0.2],1419 (1357-1482) [0.1]
Nitrogen dioxide pollution,,,,,,,,,,,
No access to handwashing facility,1167 (1010-1238) [0.2],860 (785-1116) [0.4],849 (768-1015) [0.3],834 (750-892) [0.2],724 (675-810) [0.2],629 (517-744) [0.4],653 (561-927) [0.5],632 (542-750) [0.3],616 (523-707) [0.3],516 (478-628) [0.3],425 (405-446) [0.1]
Non-optimal temperature,1302 (1291-1481) [0.1],1615 (1554-1679) [0.1],1511 (1473-1625) [0.1],1552 (1522-1642) [0.1],1747 (1721-1785) [0.0],1744 (1674-1767) [0.1],1770 (1716-1795) [0.0],1827 (1787-1828) [0.0],1855 (1821-1862) [0.0],1957 (1843-1967) [0.1],1845 (1782-1908) [0.1]
Occupational asthmagens,39 (27-63) [0.9],35 (31-50) [0.5],35 (31-37) [0.2],35 (32-38) [0.2],33 (31-36) [0.2],34 (31-52) [0.5],33 (31-42) [0.3],33 (31-38) [0.2],32 (30-35) [0.1],31 (30-34) [0.1],29 (28-31) [0.1]
Occupational carcinogens,205 (72-212) [0.8],267 (259-391) [0.4],271 (264-628) [1.0],273 (271-281) [0.0],291 (118-306) [0.7],310 (304-320) [0.1],324 (311-489) [0.5],328 (316-747) [1.0],330 (321-335) [0.0],331 (316-350) [0.1],335 (329-342) [0.0]
Occupational ergonomic factors,,,,,,,,,,,
Occupational injuries,444 (151-770) [1.3],506 (189-660) [1.0],501 (353-665) [0.6],497 (348-664) [0.6],543 (350-637) [0.6],452 (159-599) [1.1],430 (204-574) [0.9],431 (321-569) [0.6],417 (304-560) [0.6],493 (311-538) [0.5],531 (481-581) [0.2]
Occupational noise,0 (0-0) [nan],,,,0 (0-0) [nan],,,,,,
"Occupational particulate matter, gases, and fumes",276 (141-444) [1.0],413 (201-494) [0.8],443 (199-481) [0.7],455 (200-483) [0.7],350 (201-503) [0.9],345 (197-513) [0.9],423 (198-524) [0.8],460 (200-532) [0.8],495 (203-543) [0.8],524 (206-570) [0.8],392 (193-590) [1.0]
Occupational risks,1139 (562-1288) [0.7],1163 (951-1425) [0.4],1287 (1160-1410) [0.2],1165 (1090-1415) [0.3],1164 (852-1437) [0.5],1154 (717-1429) [0.6],1145 (1086-1411) [0.3],1298 (1116-1528) [0.3],1175 (1115-1416) [0.2],1221 (1091-1425) [0.3],1287 (1131-1443) [0.2]
Other environmental risks,731 (210-1891) [2.0],1005 (514-2536) [1.6],1010 (518-2586) [1.6],1086 (812-2649) [1.3],1100 (773-2790) [1.4],1185 (906-3030) [1.3],1205 (558-3175) [1.7],1227 (598-3274) [1.7],1336 (956-3335) [1.4],1591 (985-3244) [1.2],2548 (1624-3472) [0.7]
Particulate matter pollution,7037 (6405-7250) [0.1],7529 (6392-7951) [0.2],7520 (6355-7799) [0.2],6949 (4380-7779) [0.5],7517 (6398-7849) [0.2],7630 (6444-7979) [0.2],7746 (6455-8022) [0.2],7842 (6407-7999) [0.2],7091 (4580-7904) [0.5],7414 (6455-7728) [0.2],7600 (7366-7833) [0.1]
Residential radon,49 (48-63) [0.3],62 (53-63) [0.2],63 (50-64) [0.2],65 (64-68) [0.1],69 (66-99) [0.4],73 (69-92) [0.3],73 (64-76) [0.2],75 (58-78) [0.3],78 (75-88) [0.2],79 (75-84) [0.1],80 (79-82) [0.0]
Second-hand smoke,1162 (595-1376) [0.8],1188 (884-1452) [0.5],1169 (849-1451) [0.5],1166 (1110-1463) [0.3],1185 (602-1474) [0.8],1203 (331-1501) [1.1],1222 (886-1526) [0.5],1236 (884-1551) [0.5],1248 (1220-1565) [0.3],1304 (1286-1535) [0.2],1418 (1292-1545) [0.2]
Smoking,4714 (4576-5868) [0.3],5813 (5360-6956) [0.3],5750 (5350-6884) [0.3],5913 (5399-6889) [0.2],5667 (5416-7031) [0.3],5781 (5419-7141) [0.3],6107 (5486-7277) [0.3],6098 (5580-7359) [0.3],6501 (5626-7428) [0.3],6058 (5457-7693) [0.3],5861 (5547-6175) [0.1]
Suboptimal breastfeeding,549 (523-1344) [1.0],299 (271-592) [0.9],281 (259-294) [0.1],271 (247-282) [0.1],243 (214-545) [1.1],209 (185-501) [1.1],184 (169-391) [1.0],164 (152-178) [0.2],162 (153-169) [0.1],134 (133-146) [0.1],104 (101-107) [0.1]
Tobacco,5747 (5229-6774) [0.3],6751 (6514-7830) [0.2],6737 (6398-7752) [0.2],6983 (6425-7756) [0.2],6680 (6297-7914) [0.2],6763 (6149-8049) [0.3],7020 (6833-8212) [0.2],7067 (6906-8309) [0.2],7584 (6943-8393) [0.2],7130 (6885-8709) [0.2],7126 (7002-7250) [0.0]
Unsafe sanitation,1836 (497-2098) [1.0],1232 (1114-1258) [0.1],1228 (1202-1324) [0.1],1178 (1110-1219) [0.1],1043 (244-1112) [1.0],897 (816-1000) [0.2],813 (787-909) [0.1],823 (751-898) [0.2],757 (720-851) [0.2],663 (643-757) [0.2],586 (576-595) [0.0]
Unsafe sex,458 (430-679) [0.5],1614 (1517-2051) [0.3],1555 (1469-1800) [0.2],1476 (1400-1750) [0.2],1224 (1216-1313) [0.1],1131 (1060-1481) [0.4],1090 (1010-1452) [0.4],1082 (995-1101) [0.1],1036 (977-1082) [0.1],984 (944-1072) [0.1],975 (901-1049) [0.2]
Unsafe water source,2434 (288-2451) [1.1],1536 (1483-1768) [0.2],1517 (1457-1752) [0.2],1468 (1426-1723) [0.2],1290 (116-1592) [1.4],1201 (1107-1462) [0.3],1147 (1017-1363) [0.3],1078 (982-1328) [0.3],1095 (952-1319) [0.3],879 (873-1230) [0.4],800 (798-802) [0.0]
"Unsafe water, sanitation, and handwashing",3151 (2727-3485) [0.2],2197 (2169-2352) [0.1],2197 (2129-2329) [0.1],2104 (1990-2289) [0.1],1935 (1874-2118) [0.1],1696 (1399-1957) [0.3],1678 (1533-1835) [0.2],1592 (1483-1788) [0.2],1540 (1440-1770) [0.2],1354 (1326-1657) [0.2],1198 (1180-1215) [0.0]
Vitamin A deficiency,218 (188-377) [0.7],93 (87-191) [0.9],82 (78-108) [0.4],73 (71-437) [2.2],58 (57-120) [0.9],43 (42-85) [0.8],34 (34-83) [1.1],30 (30-42) [0.4],28 (28-233) [2.6],24 (24-24) [0.0],18 (17-18) [0.1]
Zinc deficiency,42 (17-276) [2.2],15 (8-93) [2.6],15 (8-53) [2.0],14 (7-60) [2.2],12 (5-97) [2.9],9 (4-66) [2.8],8 (3-55) [2.8],7 (3-25) [2.1],7 (3-29) [2.4],3 (2-8) [1.4],4 (2-7) [1.3]
