Level,Risk_factor,measure,year_gbd,anal_year,val,lower,upper
,Alcohol and drug use,DALYs,2010,2010,161308000.0,146934000.0,175282000.0
,High alcohol use,DALYs,2010,2010,136063000.0,125361000.0,146788000.0
,Drug use,DALYs,2010,2010,23810000.0,18780000.0,29246000.0
,High fasting plasma glucose,DALYs,2010,2010,89012000.0,77743000.0,101390000.0
,High LDL cholesterol*,DALYs,2010,2010,40900000.0,31662000.0,50484000.0
,High systolic blood pressure,DALYs,2010,2010,173556000.0,155939000.0,189025000.0
,High body-mass index,DALYs,2010,2010,93609000.0,77107000.0,110600000.0
,Low bone mineral density,DALYs,2010,2010,5216000.0,4133000.0,6418000.0
,Diet low in fruits,DALYs,2010,2010,104095000.0,81833000.0,124169000.0
,Diet low in vegetables,DALYs,2010,2010,38559000.0,26006000.0,51658000.0
,Diet low in whole grains,DALYs,2010,2010,40762000.0,32112000.0,48486000.0
,Diet low in nuts and seeds,DALYs,2010,2010,51289000.0,33482000.0,65959000.0
,Diet low in milk,DALYs,2010,2010,2101000.0,619000.0,3544000.0
,Diet high in red meat,DALYs,2010,2010,1853000.0,870000.0,2946000.0
,Diet high in processed meat,DALYs,2010,2010,20939000.0,6982000.0,33468000.0
,"Diet high in 
sugar sweetened beverages",DALYs,2010,2010,8553000.0,5823000.0,11418000.0
,Diet low in fiber,DALYs,2010,2010,16452000.0,7401000.0,25783000.0
,Diet low in calcium,DALYs,2010,2010,2590000.0,1873000.0,3322000.0
,Diet low in seafood omega-3 fatty acids,DALYs,2010,2010,28199000.0,20624000.0,35974000.0
,"Diet low in 
polyunsaturated fatty acids",DALYs,2010,2010,11680000.0,5360000.0,17798000.0
,Diet high in trans fatty acids,DALYs,2010,2010,11592000.0,8395000.0,14623000.0
,Diet high in sodium,DALYs,2010,2010,61231000.0,40124000.0,80342000.0
,Low physical activity,DALYs,2010,2010,69318000.0,58646000.0,80182000.0
,Occupational risks,DALYs,2010,2010,62488000.0,49471000.0,76240000.0
,Occupational carcinogens,DALYs,2010,2010,2681000.0,1773000.0,3689000.0
,Occupational exposure to asbestos,DALYs,2010,2010,653000.0,389000.0,840000.0
,Occupational exposure to arsenic,DALYs,2010,2010,63000.0,24000.0,114000.0
,Occupational exposure to benzene,DALYs,2010,2010,92000.0,39000.0,163000.0
,Occupational exposure to beryllium,DALYs,2010,2010,4000.0,2000.0,6000.0
,Occupational exposure to cadmium,DALYs,2010,2010,13000.0,6000.0,21000.0
,Occupational exposure to chromium,DALYs,2010,2010,45000.0,27000.0,66000.0
,Occupational exposure to diesel engine exhaust,DALYs,2010,2010,523000.0,292000.0,789000.0
,Occupational exposure to second-hand smoke,DALYs,2010,2010,572000.0,386000.0,762000.0
,Occupational exposure to formaldehyde,DALYs,2010,2010,25000.0,11000.0,47000.0
,Occupational exposure to nickel,DALYs,2010,2010,215000.0,58000.0,443000.0
,Occupational exposure to polycyclic aromatic hydrocarbons,DALYs,2010,2010,96000.0,45000.0,156000.0
,Occupational exposure to silica,DALYs,2010,2010,382000.0,239000.0,526000.0
,Occupational exposure to sulphuric acid,DALYs,2010,2010,71000.0,21000.0,152000.0
,Occupational asthmagens,DALYs,2010,2010,2020000.0,1441000.0,2871000.0
,"Occupational particulate matter, gases, and fumes",DALYs,2010,2010,9142000.0,4377000.0,14250000.0
,Occupational noise,DALYs,2010,2010,3451000.0,2072000.0,5574000.0
,Occupational injuries,DALYs,2010,2010,23444000.0,17736000.0,30904000.0
,Sexual abuse and violence,DALYs,2010,2010,23519000.0,17961000.0,30322000.0
,Childhood sexual abuse,DALYs,2010,2010,7833000.0,5964000.0,10005000.0
,Intimate partner violence,DALYs,2010,2010,16794000.0,11373000.0,23087000.0
,All risk factors,Deaths,2013,2013,30839000.0,29719000.0,31949000.0
,Environmental/occupational risks,Deaths,2013,2013,8181000.0,7651000.0,8726000.0
,"Unsafe water, sanitation, and handwashing",Deaths,2013,2013,1399000.0,1237000.0,1576000.0
,Unsafe water source,Deaths,2013,2013,1246000.0,989000.0,1464000.0
,Unsafe sanitation,Deaths,2013,2013,816000.0,707000.0,921000.0
,No access to handwashing facility,Deaths,2013,2013,517000.0,408000.0,621000.0
,Air pollution,Deaths,2013,2013,5527000.0,5109000.0,5944000.0
,Ambient particulate matter pollution,Deaths,2013,2013,2926000.0,2777000.0,3066000.0
,Household air pollution from solid fuels,Deaths,2013,2013,2893000.0,2463000.0,3303000.0
,Ambient ozone pollution,Deaths,2013,2013,217000.0,161000.0,272000.0
,Other environmental risks,Deaths,2013,2013,945000.0,663000.0,1279000.0
,Residential radon,Deaths,2013,2013,92000.0,61000.0,128000.0
,Lead exposure,Deaths,2013,2013,853000.0,572000.0,1181000.0
,Occupational risks,Deaths,2013,2013,717000.0,641000.0,803000.0
,Occupational carcinogens,Deaths,2013,2013,304000.0,263000.0,341000.0
