Level,Risk_factor,measure,year_gbd,anal_year,val,lower,upper,Group,Overarching_group
,Intimate partner violence,Deaths,2010,2010,186365.0,92028.0,280059.0,Intimate partner violence,Behavioural risks
,Unsafe water source,DALYs,2010,2010,7775000.0,514000.0,15705000.0,"Unsafe water, sanitation, and handwashing",Environmental/occupational risks
,Unsafe sanitation,DALYs,2010,2010,14927000.0,377000.0,29705000.0,"Unsafe water, sanitation, and handwashing",Environmental/occupational risks
,Ambient particulate matter pollution,DALYs,2010,2010,76163000.0,68086000.0,85171000.0,Air pollution,Environmental/occupational risks
,Household air pollution from solid fuels,DALYs,2010,2010,110962000.0,86848000.0,137813000.0,Air pollution,Environmental/occupational risks
,Ambient ozone pollution,DALYs,2010,2010,2456000.0,837000.0,4299000.0,Air pollution,Environmental/occupational risks
,Other environmental risks,DALYs,2010,2010,16051000.0,13212000.0,19503000.0,Other environmental risks,Environmental/occupational risks
,Residential radon,DALYs,2010,2010,2114000.0,273000.0,4660000.0,Other environmental risks,Environmental/occupational risks
,Lead exposure,DALYs,2010,2010,13936000.0,11750000.0,16327000.0,Other environmental risks,Environmental/occupational risks
,Suboptimal breastfeeding,DALYs,2010,2010,47537000.0,29868000.0,67518000.0,Child and maternal malnutrition,Behavioural risks
,Iron deficiency,DALYs,2010,2010,48225000.0,33769000.0,67592000.0,Child and maternal malnutrition,Behavioural risks
,Vitamin A deficiency,DALYs,2010,2010,10770000.0,5625000.0,17149000.0,Child and maternal malnutrition,Behavioural risks
,Zinc deficiency,DALYs,2010,2010,9136000.0,2458000.0,16903000.0,Child and maternal malnutrition,Behavioural risks
,Tobacco,DALYs,2010,2010,156838000.0,136543000.0,173057000.0,Tobacco,Behavioural risks
,Smoking,DALYs,2010,2010,136907000.0,117201000.0,153778000.0,Tobacco,Behavioural risks
,Second-hand smoke,DALYs,2010,2010,19931000.0,15707000.0,24223000.0,Tobacco,Behavioural risks
,High alcohol use,DALYs,2010,2010,136063000.0,125361000.0,146788000.0,High alcohol use,Behavioural risks
,Drug use,DALYs,2010,2010,23810000.0,18780000.0,29246000.0,Drug use,Behavioural risks
,High fasting plasma glucose,DALYs,2010,2010,89012000.0,77743000.0,101390000.0,High fasting plasma glucose,Metabolic risks
,High LDL cholesterol*,DALYs,2010,2010,40900000.0,31662000.0,50484000.0,High LDL cholesterol*,Metabolic risks
,High systolic blood pressure,DALYs,2010,2010,173556000.0,155939000.0,189025000.0,High systolic blood pressure,Metabolic risks
,High body-mass index,DALYs,2010,2010,93609000.0,77107000.0,110600000.0,High body-mass index,Metabolic risks
,Low bone mineral density,DALYs,2010,2010,5216000.0,4133000.0,6418000.0,Low bone mineral density,Metabolic risks
,Diet low in fruits,DALYs,2010,2010,104095000.0,81833000.0,124169000.0,Dietary risks,Behavioural risks
,Diet low in vegetables,DALYs,2010,2010,38559000.0,26006000.0,51658000.0,Dietary risks,Behavioural risks
,Diet low in whole grains,DALYs,2010,2010,40762000.0,32112000.0,48486000.0,Dietary risks,Behavioural risks
,Diet low in nuts and seeds,DALYs,2010,2010,51289000.0,33482000.0,65959000.0,Dietary risks,Behavioural risks
,Diet low in milk,DALYs,2010,2010,2101000.0,619000.0,3544000.0,Dietary risks,Behavioural risks
,Diet high in red meat,DALYs,2010,2010,1853000.0,870000.0,2946000.0,Dietary risks,Behavioural risks
,Diet high in processed meat,DALYs,2010,2010,20939000.0,6982000.0,33468000.0,Dietary risks,Behavioural risks
,"Diet high in 
sugar sweetened beverages",DALYs,2010,2010,8553000.0,5823000.0,11418000.0,Dietary risks,Behavioural risks
