Overarching_group,Group,DALYs,Deaths
Behavioural risks,,87/356 (0.24),111/356 (0.31)
Behavioural risks,Child and maternal malnutrition,14/81 (0.17),19/81 (0.23)
Behavioural risks,Dietary risks,55/176 (0.31),74/176 (0.42)
Behavioural risks,Drug use,0/11 (0.0),0/11 (0.0)
Behavioural risks,High alcohol use,0/11 (0.0),0/11 (0.0)
Behavioural risks,Intimate partner violence,1/11 (0.09),1/11 (0.09)
Behavioural risks,Low physical activity,5/11 (0.45),5/11 (0.45)
Behavioural risks,Tobacco,12/44 (0.27),12/44 (0.27)
Behavioural risks,Unsafe sex,0/11 (0.0),0/11 (0.0)
Environmental/occupational risks,,28/253 (0.11),24/253 (0.09)
Environmental/occupational risks,Air pollution,0/66 (0.0),0/66 (0.0)
Environmental/occupational risks,Non-optimal temperature,0/33 (0.0),0/33 (0.0)
Environmental/occupational risks,Occupational risks,6/77 (0.08),2/77 (0.03)
Environmental/occupational risks,Other environmental risks,20/33 (0.61),20/33 (0.61)
Environmental/occupational risks,"Unsafe water, sanitation, and handwashing",2/44 (0.05),2/44 (0.05)
Metabolic risks,,0/66 (0.0),0/66 (0.0)
Metabolic risks,High LDL cholesterol*,0/11 (0.0),0/11 (0.0)
Metabolic risks,High body-mass index,0/11 (0.0),0/11 (0.0)
Metabolic risks,High fasting plasma glucose,0/11 (0.0),0/11 (0.0)
Metabolic risks,High systolic blood pressure,0/11 (0.0),0/11 (0.0)
Metabolic risks,Kidney dysfunction*,0/11 (0.0),0/11 (0.0)
Metabolic risks,Low bone mineral density,0/11 (0.0),0/11 (0.0)
