,Overarching_group,Group,Risk_factor,median_Deaths,min_Deaths,max_Deaths,n_estimates_Deaths,mean_Deaths,std_Deaths,mad_Deaths,range_Deaths,fold_range_vs_median_Deaths,rmu_Deaths,cv_Deaths,max_vs_min_Deaths,f_med_Deaths,rcv_m_Deaths,median_DALYs,min_DALYs,max_DALYs,n_estimates_DALYs,mean_DALYs,std_DALYs,mad_DALYs,range_DALYs,fold_range_vs_median_DALYs,rmu_DALYs,cv_DALYs,max_vs_min_DALYs,f_med_DALYs,rcv_m_DALYs,Median Deaths (Min-Max),Median DALYs (Min-Max)
54,Environmental/occupational risks,"Unsafe water, sanitation, and handwashing",Unsafe sanitation,774000.0,244106.0,898240.0,7.0,698881.8,220568.2,42000.0,654134.0,0.8,0.9,0.3,3.7,3.2,0.1,41405159.4,14927000.0,49039000.0,7,37959363.2,11490821.3,4869840.6,34112000.0,0.8,0.9,0.3,3.3,2.8,0.2,774000.0 (244106.0-898240.0),41405159.4 (14927000.0-49039000.0)
55,Environmental/occupational risks,"Unsafe water, sanitation, and handwashing",Unsafe water source,1230000.0,116126.0,1251000.0,7.0,1005132.3,423300.4,21000.0,1134874.0,0.9,1.1,0.4,10.8,10.6,0.0,63900000.0,7775000.0,75125000.0,7,53971546.3,23353439.7,11225000.0,67350000.0,1.1,1.2,0.4,9.7,8.2,0.3,1230000.0 (116126.0-1251000.0),63900000.0 (7775000.0-75125000.0)
56,Environmental/occupational risks,"Unsafe water, sanitation, and handwashing","Unsafe water, sanitation, and handwashing",1633443.7,1215365.1,1766000.0,6.0,1551337.1,204314.3,79941.3,550634.9,0.3,0.4,0.1,1.5,1.3,0.1,84133500.0,62840745.3,95305000.0,6,81624541.1,11150458.4,5871210.6,32464254.7,0.4,0.4,0.1,1.5,1.3,0.1,1633443.7 (1215365.1-1766000.0),84133500.0 (62840745.3-95305000.0)
57,Metabolic risks,High LDL cholesterol*,High LDL cholesterol*,4313000.0,2018811.0,4396983.3,7.0,3702472.6,940894.4,83983.3,2378172.3,0.6,0.6,0.3,2.2,2.1,0.0,88687000.0,40900000.0,98618020.8,7,81055737.6,21272963.3,6213000.0,57718020.8,0.7,0.7,0.3,2.4,2.2,0.1,4313000.0 (2018811.0-4396983.3),88687000.0 (40900000.0-98618020.8)
58,Metabolic risks,High body-mass index,High body-mass index,4444000.0,3371232.0,5019359.7,7.0,4249822.2,588086.7,484000.0,1648127.7,0.4,0.4,0.1,1.5,1.3,0.2,134048000.0,93609000.0,160265357.5,7,131422252.9,21193748.0,13916000.0,66656357.5,0.5,0.5,0.2,1.7,1.4,0.2,4444000.0 (3371232.0-5019359.7),134048000.0 (93609000.0-160265357.5)
59,Metabolic risks,High fasting plasma glucose,High fasting plasma glucose,5292826.9,3356271.0,6530000.0,7.0,5220992.2,1186431.3,1208570.8,3173729.0,0.6,0.6,0.2,1.9,1.6,0.3,144088580.0,89012000.0,172068733.7,7,141688651.4,29931208.9,26911420.0,83056733.7,0.6,0.6,0.2,1.9,1.6,0.3,5292826.9 (3356271.0-6530000.0),144088580.0 (89012000.0-172068733.7)
60,Metabolic risks,High systolic blood pressure,High systolic blood pressure,10455860.0,9395860.0,10852106.4,7.0,10431060.2,500221.9,248140.0,1456246.4,0.1,0.1,0.0,1.2,1.1,0.0,212105090.0,173556000.0,235424636.1,7,212080527.6,19411251.3,5894910.0,61868636.1,0.3,0.3,0.1,1.4,1.2,0.0,10455860.0 (9395860.0-10852106.4),212105090.0 (173556000.0-235424636.1)
61,Metabolic risks,Kidney dysfunction*,Kidney dysfunction*,2572105.0,2164000.0,3622840.0,6.0,2753100.3,537303.0,277105.0,1458840.0,0.6,0.5,0.2,1.7,1.4,0.2,60891090.0,51906000.0,86228294.6,6,65139403.3,13414088.3,7721590.0,34322294.6,0.6,0.5,0.2,1.7,1.4,0.2,2572105.0 (2164000.0-3622840.0),60891090.0 (51906000.0-86228294.6)
62,Metabolic risks,Low bone mineral density,Low bone mineral density,361000.0,187586.0,459661.0,7.0,364051.6,94845.7,76884.4,272075.0,0.8,0.7,0.3,2.5,1.9,0.3,11955490.0,5216000.0,17310084.6,7,12069720.1,4357190.5,3145490.0,12094084.6,1.0,1.0,0.4,3.3,2.3,0.4,361000.0 (187586.0-459661.0),11955490.0 (5216000.0-17310084.6)
63,Metabolic risks,Other,Metabolic risks,17546765.0,15723000.0,18562545.9,6.0,17466656.3,1079363.9,850431.1,2839545.9,0.2,0.2,0.1,1.2,1.1,0.1,412406960.0,373817000.0,476078740.0,6,419892747.6,42202273.2,34575960.0,102261740.0,0.2,0.2,0.1,1.3,1.2,0.1,17546765.0 (15723000.0-18562545.9),412406960.0 (373817000.0-476078740.0)
64,Environmental/occupational risks,Occupational risks,Occupational ergonomic factors,,,,,,,,,,,,,,,15734609.4,15310681.0,21109000.0,6,16990305.0,2357082.6,339303.9,5798319.0,0.4,0.3,0.1,1.4,1.3,0.0,nan (nan-nan),15734609.4 (15310681.0-21109000.0)
