measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2000,11544.147849275469,15811.20845263627,4.279484e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2000,10420.142958723329,15002.844110478904,1.37415e-10
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2000,21964.29080799881,30261.73464143297,3.450521e-10
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2001,12059.881187955005,16434.728466946748,1.023851e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2001,10872.02707547763,15705.839338293645,5.84147e-11
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2001,22931.90826343264,31905.11662099216,-3.27401e-11
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2002,12668.319048504423,17508.211663984133,3.296881e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2002,11378.704357856936,16588.786726040264,7.30848e-11
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2002,24047.02340636136,33862.3217692186,3.148923e-10
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2003,13286.165832803475,18302.25330488309,4.680817e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2003,11930.066961577704,17498.575911855223,3.160023e-10
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2003,25216.232794381183,35166.539624588935,7.112188e-10
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2004,13815.806344718192,19025.68714803809,7.270539e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2004,12368.081788437188,18684.47449744062,1.359956e-10
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2004,26183.888133155357,37024.3163870691,6.795054e-10
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2005,14294.579667660992,19749.90560303827,6.036815e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2005,12730.904944495518,19509.288336077097,5.18648e-11
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2005,27025.484612156517,38711.22284727146,4.603582e-10
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2006,14791.611381868252,20193.419849573853,5.13472e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2006,13158.207382282995,20360.981171916355,4.39446e-11
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2006,27949.818764151227,40309.74065644362,7.870903e-10
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2007,15414.22290493844,21481.110430383607,5.54937e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2007,13738.435702935623,21000.908643951327,9.80051e-11
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2007,29152.658607874066,42473.73757163084,4.907012e-10
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2008,16007.33062934174,22382.76540890332,1.3812964e-09
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2008,14175.330199087975,21908.08801215654,1.020807e-10
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2008,30182.660828429696,43807.576777668975,1.5158058e-09
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2009,16553.539004158887,23178.51837994209,4.2373357e-09
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2009,14686.047988310003,22810.36256246837,9.28489e-11
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2009,31239.586992468867,45238.39084535014,3.9424781e-09
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2010,17668.70319994111,24598.108721524422,5.869411e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2010,15633.613017655784,24613.385537955564,3.537586e-10
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2010,33302.316217596905,48818.98213586821,8.116987e-10
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2011,18228.674484196046,25588.294985767123,1.0379897e-09
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2011,16120.990053620617,25788.550328644586,2.987148e-10
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2011,34349.66453781666,50296.62236588041,1.1477659e-09
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2012,18707.89341577639,26425.357728408664,5.5113782e-09
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2012,16566.17971182394,26651.93364271687,1.307432e-10
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2012,35274.07312760034,51960.17403626256,5.5959238e-09
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2013,19364.342334110686,27513.52797145726,2.0344499e-09
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2013,17085.039238301048,27846.77740310529,1.53895e-10
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2013,36449.38157241172,54440.82496982568,2.1028808e-09
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2014,20000.398398294998,28892.286778687427,1.9694048e-09
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2014,17655.55975608575,29340.70722350043,2.60139e-11
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2014,37655.95815438072,57461.877667451874,1.6395196e-09
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2015,20865.426674263224,30485.577230233157,3.0275983e-09
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2015,18338.68753945425,30419.299730917173,5.120298e-10
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2015,39204.114213717454,60416.28138090432,2.9521703e-09
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2016,21998.51297052373,32236.1429378448,1.0809579e-09
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2016,19112.219827938028,31940.24002749246,4.55702e-11
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2016,41110.73279846179,63596.15202116213,1.0343372e-09
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2017,22603.076322444434,33556.08149431688,4.0779738e-09
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2017,19736.92822917193,33257.39355009335,8.21301e-11
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2017,42340.00455161635,66287.30133592333,2.2984706e-09
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2018,23399.89105184745,35427.26475920294,1.11444437e-08
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2018,20321.331208259195,34619.26300035932,2.127728e-10
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2018,43721.22226010663,70266.76182157545,1.1160548e-08
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2019,24322.01041056376,37459.44454544957,2.2275952e-09
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2019,21182.75745561824,36955.42752967481,2.108267e-10
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2019,45504.76786618208,73618.3874013585,2.3128616e-09
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2020,25178.200082597174,38704.02717306576,7.613828e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2020,21439.20405467704,37148.63851962031,3.298197e-10
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2020,46617.40413727421,75526.14271069728,1.1268465e-09
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2021,26517.27865036736,41691.21454156826,3.0825587e-09
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2021,22770.971887579715,39753.79378882432,1.120466e-10
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2021,49288.250537947104,81250.6386882863,3.1092166e-09
