Level,Risk_factor,year_gbd,Note
3,"Occupational particulate matter, gases, and fumes",2016,
3,Occupational noise,2016,
3,Occupational injuries,2016,
3,Occupational ergonomic factors,2016,
1,Behavioural risks,2016,
2,Child and maternal malnutrition,2016,
3,Suboptimal breastfeeding,2016,
3,Child growth failure,2016,
3,Low birthweight and short gestation,2016,
3,Iron deficiency,2016,
3,Vitamin A deficiency,2016,
3,Zinc deficiency,2016,
2,Tobacco,2016,
3,Smoking,2016,
3,Smokeless tobacco,2016,
3,Second-hand smoke,2016,
2,Alcohol and drug use,2016,
3,Alcohol use,2016,
3,Drug use,2016,
2,Dietary risks,2016,
3,Diet low in fruits,2016,
3,Diet low in vegetables,2016,
3,Diet low in legumes,2016,
3,Diet low in whole grains,2016,
3,Diet low in nuts and seeds,2016,
3,Diet low in milk,2016,
3,Diet high in red meat,2016,
3,Diet high in processed meat,2016,
3,Diet high in sugar-sweetened beverages,2016,
3,Diet low in fibre,2016,
3,Diet low in calcium,2016,
3,Diet low in seafood omega 3 fatty acids,2016,
3,Diet low in polyunsaturated fatty acids,2016,
3,Diet high in transfatty acids,2016,
3,Diet high in sodium,2016,
2,Sexual abuse and violence,2016,
3,Childhood sexual abuse,2016,
3,Intimate partner violence,2016,
2,Unsafe sex,2016,
2,Low physical activity,2016,
1,Metabolic risks,2016,
2,High fasting plasma glucose,2016,
2,High total cholesterol,2016,
2,High systolic blood pressure,2016,
2,High body-mass index,2016,
2,Low bone mineral density,2016,
2,Impaired kidney function,2016,
0,All risk factors,2017,
1,Environmental and occupational risks,2017,
2,"Unsafe water, sanitation, and handwashing",2017,
3,Unsafe water source,2017,
3,Unsafe sanitation,2017,
3,No access to handwashing facility,2017,
2,Air pollution,2017,
3,Particulate matter pollution,2017,
3,Ambient ozone pollution,2017,
2,Other environmental risks,2017,
3,Residential radon,2017,
3,Lead exposure,2017,
2,Occupational risks,2017,
3,Occupational carcinogens,2017,
3,Occupational asthmagens,2017,
3,"Occupational particulate matter, gases, and fumes",2017,
3,Occupational noise,2017,
3,Occupational injuries,2017,
3,Occupational ergonomic factors,2017,
1,Behavioural risks,2017,
2,Child and maternal malnutrition,2017,
3,Suboptimal breastfeeding,2017,
3,Child growth failure,2017,
3,Low birthweight and short gestation,2017,
3,Iron deficiency,2017,
3,Vitamin A deficiency,2017,
3,Zinc deficiency,2017,
2,Tobacco,2017,
3,Smoking,2017,
3,Chewing tobacco,2017,
3,Second-hand smoke,2017,
2,Alcohol use,2017,
2,Drug use,2017,
2,Dietary risks,2017,
3,Diet low in fruits,2017,
3,Diet low in vegetables,2017,
3,Diet low in legumes,2017,
3,Diet low in whole grains,2017,
3,Diet low in nuts and seeds,2017,
3,Diet low in milk,2017,
3,Diet high in red meat,2017,
3,Diet high in processed meat,2017,
3,Diet high in sugar-sweetened beverages,2017,
3,Diet low in fibre,2017,
3,Diet low in calcium,2017,
3,Diet low in seafood omega 3 fatty acids,2017,
3,Diet low in polyunsaturated fatty acids,2017,
3,Diet high in trans fatty acids,2017,
3,Diet high in sodium,2017,
2,Intimate partner violence,2017,
2,Childhood maltreatment,2017,
3,Childhood sexual abuse,2017,
3,Bullying victimisation,2017,
2,Unsafe sex,2017,
2,Low physical activity,2017,
1,Metabolic risks,2017,
2,High fasting plasma glucose,2017,
2,High low-density lipoprotein cholesterol,2017,
2,High systolic blood pressure,2017,
2,High body-mass index,2017,
2,Low bone mineral density,2017,
2,Impaired kidney function,2017,
0,All risk factors,2019,
1,Environmental/occupational risks,2019,
2,"Unsafe water, sanitation, and handwashing",2019,
3,Unsafe water source,2019,
3,Unsafe sanitation,2019,
3,No access to handwashing facility,2019,
2,Air pollution,2019,
3,Particulate matter pollution,2019,
3,Ambient ozone pollution,2019,
2,Non-optimal temperature,2019,
3,High temperature,2019,
3,Low temperature,2019,
2,Other environmental risks,2019,
3,Residential radon,2019,
3,Lead exposure,2019,
2,Occupational risks,2019,
3,Occupational carcinogens,2019,
3,Occupational asthmagens,2019,
3,"Occupational particulate matter, gases, and fumes",2019,
3,Occupational noise,2019,
3,Occupational injuries,2019,
3,Occupational ergonomic factors,2019,
1,Behavioral risks,2019,
2,Child and maternal malnutrition,2019,
3,Suboptimal breastfeeding,2019,
3,Child growth failure,2019,
3,Low birthweight and short gestation,2019,
3,Iron deficiency,2019,
3,Vitamin A deficiency,2019,
3,Zinc deficiency,2019,
2,Tobacco,2019,
3,Smoking,2019,
3,Chewing tobacco,2019,
3,Secondhand smoke,2019,
2,Alcohol use,2019,
2,Drug use,2019,
2,Dietary risks,2019,
3,Diet low in fruits,2019,
3,Diet low in vegetables,2019,
3,Diet low in legumes,2019,
3,Diet low in whole grains,2019,
3,Diet low in nuts and seeds,2019,
3,Diet low in milk,2019,
3,Diet high in red meat,2019,
3,Diet high in processed meat,2019,
3,Diet high in sugar-sweetened beverages,2019,
3,Diet low in fiber,2019,
3,Diet low in calcium,2019,
3,Diet low in seafood omega-3 fatty acids,2019,
3,Diet low in polyunsaturated fatty acids,2019,
3,Diet high in trans fatty acids,2019,
3,Diet high in sodium,2019,
2,Intimate partner violence,2019,
2,Childhood sexual abuse and bullying,2019,
3,Childhood sexual abuse,2019,
3,Bullying victimization,2019,
2,Unsafe sex,2019,
2,Low physical activity,2019,
1,Metabolic risks,2019,
2,High fasting plasma glucose,2019,
2,High LDL cholesterol,2019,
2,High systolic blood pressure,2019,
2,High body-mass index,2019,
2,Low bone mineral density,2019,
2,Kidney dysfunction,2019,
0,All risk factors,2021,
1,Environmental/occupational risks,2021,
2,"Unsafe water, sanitation, and handwashing",2021,
3,Unsafe water source,2021,
3,Unsafe sanitation,2021,
3,No access to handwashing facility,2021,
2,Air pollution,2021,
3,Particulate matter pollution,2021,
3,Ambient ozone pollution,2021,
3,Nitrogen dioxide pollution,2021,
2,Non-optimal temperature,2021,
3,High temperature,2021,
3,Low temperature,2021,
2,Other environmental risks,2021,
3,Residential radon,2021,
3,Lead exposure,2021,
2,Occupational risks,2021,
3,Occupational carcinogens,2021,
3,Occupational asthmagens,2021,
3,"Occupational particulate matter, gases, and fumes",2021,
3,Occupational noise,2021,
3,Occupational injuries,2021,
3,Occupational ergonomic factors,2021,
1,Behavioral risks,2021,
2,Child and maternal malnutrition,2021,
3,Suboptimal breastfeeding,2021,
3,Child growth failure,2021,
3,Low birth weight and short gestation,2021,
3,Iron deficiency,2021,
3,Vitamin A deficiency,2021,
3,Zinc deficiency,2021,
2,Tobacco,2021,
3,Smoking,2021,
3,Chewing tobacco,2021,
3,Secondhand smoke,2021,
2,High alcohol use,2021,
2,Drug use,2021,
2,Dietary risks,2021,
3,Diet low in fruits,2021,
3,Diet low in vegetables,2021,
3,Diet low in legumes,2021,
3,Diet low in whole grains,2021,
3,Diet low in nuts and seeds,2021,
3,Diet low in milk,2021,
3,Diet high in red meat,2021,
3,Diet high in processed meat,2021,
3,Diet high in sugar-sweetened beverages,2021,
3,Diet low in fiber,2021,
3,Diet low in calcium,2021,
3,Diet low in seafood omega-3 fatty acids,2021,
3,Diet low in omega-6 polyunsaturated fatty acids,2021,
3,Diet high in trans fatty acids,2021,
3,Diet high in sodium,2021,
2,Intimate partner violence,2021,
2,Childhood sexual abuse and bullying,2021,
3,Childhood sexual abuse,2021,
3,Bullying victimization,2021,
2,Unsafe sex,2021,
2,Low physical activity,2021,
1,Metabolic risks,2021,
2,High fasting plasma glucose,2021,
2,High LDL cholesterol,2021,
2,High systolic blood pressure,2021,
2,High body-mass index,2021,
2,Low bone mineral density,2021,
2,Kidney dysfunction,2021,
