,Level,Risk_factor,measure,year_gbd,anal_year,val,lower,upper,Rank
662,3.0,Diet high in red meat,Deaths,2017,2017,25000.0,11000.0,40000.0,16.0
663,3.0,Diet high in processed meat,Deaths,2017,2017,130000.0,26000.0,265000.0,14.0
664,3.0,"Diet high in 
sugar sweetened beverages",Deaths,2017,2017,137000.0,20000.0,264000.0,13.0
665,3.0,Diet low in fiber,Deaths,2017,2017,873000.0,510000.0,1330000.0,8.0
666,3.0,Diet low in calcium,Deaths,2017,2017,185000.0,116000.0,262000.0,12.0
667,3.0,Diet low in seafood omega-3 fatty acids,Deaths,2017,2017,1440000.0,667000.0,2380000.0,6.0
668,3.0,"Diet low in 
polyunsaturated fatty acids",Deaths,2017,2017,799000.0,343000.0,1310000.0,9.0
669,3.0,Diet high in trans fatty acids,Deaths,2017,2017,258000.0,80000.0,577000.0,11.0
670,3.0,Diet high in sodium,Deaths,2017,2017,3200000.0,1420000.0,5450000.0,1.0
674,2.0,Low physical activity,Deaths,2017,2017,1260000.0,681000.0,2010000.0,7.0
792,,Diet low in fruits,Deaths,2019,2019,1046014.85149847,730092.303933763,1363859.4078577,4.0
793,,Diet low in vegetables,Deaths,2019,2019,529381.294473023,340332.349137877,718248.266479947,10.0
794,,Diet low in whole grains,Deaths,2019,2019,1844836.14402205,921291.315475401,2338609.2376141,2.0
795,,Diet low in nuts and seeds,Deaths,2019,2019,575139.227628589,311225.472374473,789584.549327027,9.0
796,,Diet low in milk,Deaths,2019,2019,166456.355475281,107220.804004758,226027.206142109,15.0
797,,Diet high in red meat,Deaths,2019,2019,895674.865847097,535643.768341172,1251405.78588332,5.0
798,,Diet high in processed meat,Deaths,2019,2019,304284.428470904,154310.083253012,486449.431953603,13.0
799,,"Diet high in 
sugar sweetened beverages",Deaths,2019,2019,242218.192952048,172044.534744722,302250.292556166,14.0
800,,Diet low in fiber,Deaths,2019,2019,606223.954557137,342045.308150596,887467.110743672,8.0
801,,Diet low in seafood omega-3 fatty acids,Deaths,2019,2019,337279.714963052,165612.941196027,435663.334844461,12.0
802,,"Diet low in 
polyunsaturated fatty acids",Deaths,2019,2019,346234.394014849,44248.7051287729,707300.224144483,11.0
803,,Diet high in trans fatty acids,Deaths,2019,2019,644980.994780061,75905.1933222124,882254.19759501,7.0
804,,Diet high in sodium,Deaths,2019,2019,1885355.86872438,476839.194567855,4194708.61145616,1.0
805,,Low physical activity,Deaths,2019,2019,831502.012572398,427075.937529587,1470299.39365758,6.0
815,,Diet low in calcium,Deaths,2019,2019,137895.942410856,96834.7648839586,189221.03727682,16.0
839,,Diet low in legumes,Deaths,2019,2019,1116424.03352137,252012.593665219,1815318.86434172,3.0
944,,Diet low in milk,Deaths,2021,2021,146610.909261126,52323.5382849476,230009.588801282,13.0
946,,Diet low in fiber,Deaths,2021,2021,618783.302427818,226106.898717131,987569.142398294,9.0
948,,Diet high in sodium,Deaths,2021,2021,1857695.59359268,367760.850916827,4251577.08605353,1.0
956,,Diet low in whole grains,Deaths,2021,2021,1546242.68698825,707296.746514314,2343822.22829647,3.0
957,,Diet high in processed meat,Deaths,2021,2021,295268.699376322,56805.2254634352,502317.373659524,12.0
958,,"Diet low in 
polyunsaturated fatty acids",Deaths,2021,2021,737879.282209482,-2118790.29882907,2767688.42735375,5.0
967,,Diet low in legumes,Deaths,2021,2021,389328.769606269,-313415.181203872,1011097.99788587,10.0
981,,Diet low in nuts and seeds,Deaths,2021,2021,658246.827457309,184906.146038822,1086133.71502607,6.0
982,,"Diet high in 
sugar sweetened beverages",Deaths,2021,2021,75725.3804443203,34284.3580288238,117265.954094679,16.0
983,,Diet high in trans fatty acids,Deaths,2021,2021,93310.7014985043,9229.38295129084,179613.684215078,14.0
1002,,Diet low in fruits,Deaths,2021,2021,1683591.63772107,769757.726378262,2470250.4438557,2.0
1003,,Diet low in vegetables,Deaths,2021,2021,861479.896570154,541278.444980827,1189503.36589418,4.0
1004,,Diet high in red meat,Deaths,2021,2021,333872.014848432,-146.321385154267,444431.014967803,11.0
1005,,Diet low in seafood omega-3 fatty acids,Deaths,2021,2021,627342.216564792,119537.66072445,1082744.96194442,8.0
1006,,Low physical activity,Deaths,2021,2021,657618.695734701,278741.786773928,1058456.23342328,7.0
1011,,Diet low in calcium,Deaths,2021,2021,83863.9916261323,64825.5282767432,102766.062574294,15.0
1130,,Diet low in whole grains,Deaths,2023,2023,1189943.1134646,536199.821215898,1870071.77165641,3.0
1132,,Diet low in fruits,Deaths,2023,2023,1763968.3985265,739975.650245814,2790818.169569,1.0
1134,,Diet high in processed meat,Deaths,2023,2023,307069.291638428,139351.597416982,509075.273577998,12.0
1135,,Diet low in milk,Deaths,2023,2023,156795.0148798,56315.9100405512,248691.739537916,13.0
